motivo viaje,hora inicio,latitud origen,latitud destino,longitud origen,longitud destino,duracion viaje,dia habil,troncal origen,troncal destino
Trabajar,07:00:00,4.57284,4.708019999999999,-74.12297,-74.05325,01:30:00,1,H,B
Volver a casa,18:00:00,4.708019999999999,4.57001,-74.05325,-74.11796,01:30:00,1,B,H
Trabajar,05:15:00,4.6367199999999995,4.62856,-74.15731,-74.10608,00:35:00,0,F,K
Volver a casa,13:15:00,4.62856,4.6367199999999995,-74.10608,-74.15731,01:15:00,0,K,F
Trabajar,07:49:00,4.63232,4.632630000000001,-74.18963000000001,-74.06899,00:59:00,1,G,A
Estudiar,17:55:00,4.632630000000001,4.63389,-74.06899,-74.07574,01:00:00,1,A,A
Recibir atencion en salud,05:06:00,4.6285300000000005,4.6330599999999995,-74.18986,-74.07047,01:00:00,1,G,A
Volver a casa,17:15:00,4.6330599999999995,4.6285300000000005,-74.07047,-74.18986,00:49:00,1,A,G
Recibir atencion en salud,05:11:00,4.6285300000000005,4.63256,-74.18986,-74.06779,00:49:00,1,G,A
Volver a casa,06:34:08,4.63256,4.6285300000000005,-74.06779,-74.18986,01:41:00,1,A,G
Trabajar,07:00:00,4.74821,4.62259,-74.10015,-74.06936,01:00:00,1,C,A
Volver a casa,14:21:00,4.62259,4.74821,-74.06936,-74.10015,01:43:00,1,A,C
Compras,06:15:00,4.6103,4.6006,-74.17899,-74.07871999999999,01:00:00,0,G,J
Volver a casa,12:00:00,4.6006,4.6103,-74.07871999999999,-74.17899,02:30:00,0,J,G
Trabajar,05:30:00,4.569369999999999,4.70173,-74.11771999999999,-74.08178000000001,02:00:00,1,H,C
Volver a casa,14:52:30,4.70173,4.569369999999999,-74.08178000000001,-74.11771999999999,01:50:00,1,C,H
Trabajar,08:30:00,4.549169999999999,4.66338,-74.11417,-74.07287,01:28:00,1,H,E
Volver a casa,17:00:00,4.66338,4.549169999999999,-74.07287,-74.11417,01:00:00,1,E,H
Recibir atencion en salud,10:00:00,4.55351,4.60134,-74.11582,-74.06931999999999,00:30:00,1,H,J
